"","Area code","Township","SevMale","SevFemale","SevTotal","AttSvMale","AttSvFemale","AttSvTotal","pcAttSvMale","pcAttSvFemale","pcAttSvTotal"
"404","AREA # 140605","Hinthada",122,98,220,47,29,76,38.5245901639344,29.5918367346939,34.5454545454545
"405","AREA # 140606","Ingapu",98,71,169,36,21,57,36.734693877551,29.5774647887324,33.7278106508876
"406","AREA # 150101","Tatkon",50,35,85,10,10,20,20,28.5714285714286,23.5294117647059
"407","AREA # 150102","Zeyarthiri",26,26,52,6,4,10,23.0769230769231,15.3846153846154,19.2307692307692
"408","AREA # 150103","Ottarathiri",12,15,27,2,3,5,16.6666666666667,20,18.5185185185185
"409","AREA # 150104","Pobbathiri",32,27,59,7,2,9,21.875,7.40740740740741,15.2542372881356
"410","AREA # 150201","Pyinmana",46,54,100,12,14,26,26.0869565217391,25.9259259259259,26
"411","AREA # 150202","Lewe",76,57,133,23,19,42,30.2631578947368,33.3333333333333,31.5789473684211
"412","AREA # 150203","Zabuthiri",17,14,31,3,4,7,17.6470588235294,28.5714285714286,22.5806451612903
"413","AREA # 150204","Dekkhinathiri",5,4,9,NA,1,1,NA,25,11.1111111111111
