"","AreaCode","Township","SvMale","SvFemale","SvTotal","AttSvMale","AttSvFemale","AttSvTotal","pcAttSvMale","pcAttSvFemale","pcAttSvTotal"
"266","AREA # 120301","Thanlyin",39,36,75,6,5,11,15.3846153846154,13.8888888888889,14.6666666666667
"267","AREA # 120302","Kyauktan",26,20,46,6,1,7,23.0769230769231,5,15.2173913043478
"268","AREA # 120303","Thongwa",31,26,57,2,4,6,6.45161290322581,15.3846153846154,10.5263157894737
"269","AREA # 120304","Khayan",39,28,67,9,8,17,23.0769230769231,28.5714285714286,25.3731343283582
"270","AREA # 120305","Twantay",48,41,89,14,12,26,29.1666666666667,29.2682926829268,29.2134831460674
"271","AREA # 120306","Kawhmu",22,26,48,4,6,10,18.1818181818182,23.0769230769231,20.8333333333333
"272","AREA # 120307","Kungyangon",38,26,64,15,7,22,39.4736842105263,26.9230769230769,34.375
"273","AREA # 120308","Dala",42,31,73,11,5,16,26.1904761904762,16.1290322580645,21.9178082191781
"274","AREA # 120309","Seikkyi/Khanaungto",9,8,17,5,2,7,55.5555555555556,25,41.1764705882353
"275","AREA # 120310","Cocogyun",2,1,3,NA,NA,NA,NA,NA,NA
"276","AREA # 120351","Tada(ST)",8,6,14,1,NA,1,12.5,NA,7.14285714285714
"277","AREA # 120401","Kyauktada",3,4,7,NA,2,2,NA,50,28.5714285714286
"278","AREA # 120402","Pabedan",4,2,6,1,NA,1,25,NA,16.6666666666667
"279","AREA # 120403","Lanmadaw",3,1,4,NA,NA,NA,NA,NA,NA
"280","AREA # 120404","Latha",5,2,7,1,NA,1,20,NA,14.2857142857143
"281","AREA # 120405","Ahlon",2,6,8,NA,NA,NA,NA,NA,NA
"282","AREA # 120406","Kyimyindine",12,11,23,2,3,5,16.6666666666667,27.2727272727273,21.7391304347826
"283","AREA # 120407","Sangyoung",11,7,18,3,2,5,27.2727272727273,28.5714285714286,27.7777777777778
"284","AREA # 120408","Hline",24,17,41,7,3,10,29.1666666666667,17.6470588235294,24.390243902439
"285","AREA # 120409","Kamayut",3,4,7,NA,1,1,NA,25,14.2857142857143
"286","AREA # 120410","Mayangon",43,36,79,11,6,17,25.5813953488372,16.6666666666667,21.5189873417722
"287","AREA # 120411","Dagon",NA,4,4,NA,NA,NA,NA,NA,NA
"288","AREA # 120412","Bahan",12,9,21,2,1,3,16.6666666666667,11.1111111111111,14.2857142857143
"289","AREA # 120413","Seikkan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","AREA # 130101","Taunggyi",80,41,121,17,8,25,21.25,19.5121951219512,20.6611570247934
"291","AREA # 130102","Nyaungshwe",45,28,73,10,3,13,22.2222222222222,10.7142857142857,17.8082191780822
"292","AREA # 130103","Hopon",20,10,30,2,3,5,10,30,16.6666666666667
"293","AREA # 130104","Hsihseng",36,24,60,12,4,16,33.3333333333333,16.6666666666667,26.6666666666667
"294","AREA # 130105","Kalaw",30,32,62,3,8,11,10,25,17.741935483871
"295","AREA # 130106","Pindaya",27,13,40,3,2,5,11.1111111111111,15.3846153846154,12.5
"296","AREA # 130107","Ywarngan",21,15,36,6,3,9,28.5714285714286,20,25
"297","AREA # 130108","Yatsauk",27,23,50,9,9,18,33.3333333333333,39.1304347826087,36
"298","AREA # 130109","Pinlaung",25,19,44,5,6,11,20,31.5789473684211,25
"299","AREA # 130110","Phekon",29,25,54,13,5,18,44.8275862068966,20,33.3333333333333
"300","AREA # 130151","Kyauktalongyi(ST)",13,12,25,6,3,9,46.1538461538462,25,36
"301","AREA # 130152","Indaw(ST)",13,7,20,4,2,6,30.7692307692308,28.5714285714286,30
"302","AREA # 130153","Naungtayar(ST)",19,16,35,9,3,12,47.3684210526316,18.75,34.2857142857143
"303","AREA # 130201","Loilem",1,7,8,NA,NA,NA,NA,NA,NA
"304","AREA # 130202","Le`char",11,7,18,1,2,3,9.09090909090909,28.5714285714286,16.6666666666667
"305","AREA # 130203","Nanhsam(South)",7,12,19,1,2,3,14.2857142857143,16.6666666666667,15.7894736842105
"306","AREA # 130204","Kunhing",2,2,4,NA,NA,NA,NA,NA,NA
"307","AREA # 130205","Kehsi",7,8,15,2,1,3,28.5714285714286,12.5,20
"308","AREA # 130206","Mongkai",13,4,17,2,2,4,15.3846153846154,50,23.5294117647059
"309","AREA # 130207","Mineshu",6,6,12,NA,1,1,NA,16.6666666666667,8.33333333333333
"310","AREA # 130251","Panglong(ST)",9,10,19,1,NA,1,11.1111111111111,NA,5.26315789473684
"311","AREA # 130252","Kholan(ST)",6,7,13,NA,NA,NA,NA,NA,NA
"312","AREA # 130253","Karli(ST)",4,NA,4,NA,NA,NA,NA,NA,NA
"313","AREA # 130254","Minenaung(ST)",8,3,11,1,NA,1,12.5,NA,9.09090909090909
"314","AREA # 130255","Minesan(Monsan)(ST)",1,1,2,NA,1,1,NA,100,50
"315","AREA # 130301","Linkhe`",7,2,9,1,2,3,14.2857142857143,100,33.3333333333333
"316","AREA # 130302","Mone`",4,6,10,NA,2,2,NA,33.3333333333333,20
"317","AREA # 130303","Maukme`",9,6,15,3,2,5,33.3333333333333,33.3333333333333,33.3333333333333
"318","AREA # 130304","Minepan",4,2,6,NA,NA,NA,NA,NA,NA
"319","AREA # 130351","Homane(ST)",1,2,3,NA,NA,NA,NA,NA,NA
"320","AREA # 130352","Kengtaung(ST)",NA,2,2,NA,NA,NA,NA,NA,NA
"321","AREA # 130401","Lashio",42,32,74,1,4,5,2.38095238095238,12.5,6.75675675675676
"322","AREA # 130402","Theinni",8,4,12,NA,1,1,NA,25,8.33333333333333
"323","AREA # 130403","Mineye`",6,6,12,NA,NA,NA,NA,NA,NA
"324","AREA # 130404","Tantyan",15,17,32,1,2,3,6.66666666666667,11.7647058823529,9.375
"325","AREA # 130501","MuSe",20,13,33,3,NA,3,15,NA,9.09090909090909
"326","AREA # 130502","Namkham",16,9,25,5,3,8,31.25,33.3333333333333,32
"327","AREA # 130503","Kukai",11,12,23,3,7,10,27.2727272727273,58.3333333333333,43.4782608695652
"328","AREA # 130551","Monekoe(ST)",3,6,9,1,1,2,33.3333333333333,16.6666666666667,22.2222222222222
"329","AREA # 130552","Manhero(ST)",NA,NA,NA,NA,NA,NA,NA,NA,NA
